Date,Open,High,Low,Close,Adj Close,Volume
2011-04-13,17.908333,19.241667,17.837500,19.241667,17.906580,39550104
2011-04-14,19.645832,20.045834,19.258333,19.458332,18.108210,27738285
2011-04-15,19.604166,19.908333,18.916666,19.570833,18.212906,18713426
2011-04-18,19.312500,19.758333,19.041666,19.270832,17.933722,14965492
2011-04-19,19.083332,19.200001,17.966665,17.979166,16.731678,17321796
2011-04-20,18.041666,18.416666,17.983334,18.041666,16.789843,7604301
2011-04-21,18.120832,19.845833,17.833332,19.845833,18.468824,16426236
2011-04-22,20.250000,20.625000,19.845833,20.333332,18.922499,16019877
2011-04-25,19.924999,20.183332,19.116667,19.299999,17.960865,10737816
2011-04-26,19.166666,21.200001,19.079166,20.233334,18.829439,14639076
2011-04-27,20.041666,21.158333,19.450001,20.133333,18.736376,11930697
2011-04-28,19.674999,19.975000,18.549999,18.729166,17.429638,11839725
2011-04-29,18.958332,19.029165,18.208332,18.475000,17.193108,6345019
2011-05-03,18.591665,19.000000,17.962500,18.391666,17.115557,6955483
2011-05-04,18.333332,18.958332,18.179167,18.520832,17.235760,5948750
2011-05-05,18.424999,18.454166,17.504166,17.666666,16.440861,7533974
2011-05-06,17.579166,17.866667,17.045834,17.670834,16.444738,4570670
2011-05-09,17.629166,17.829166,17.500000,17.674999,16.448616,2680706
2011-05-10,17.587500,17.791666,17.145832,17.287500,16.088003,5451237
2011-05-11,17.041666,17.416666,16.958332,17.116667,15.929024,3960580
2011-05-12,16.895832,17.145832,16.333332,16.333332,15.200040,5456930
2011-05-13,16.341665,16.637501,16.041666,16.512501,15.366778,4628940
2011-05-16,16.458332,16.779165,16.308332,16.329166,15.196163,3198849
2011-05-17,16.245832,16.687500,15.962500,16.466665,15.324121,3929764
2011-05-18,16.424999,17.787500,16.354166,17.150000,15.960043,6346812
2011-05-19,17.004166,17.391666,16.604166,16.604166,15.452083,3988053
2011-05-20,16.375000,16.741667,16.375000,16.512501,15.366778,1525344
2011-05-23,16.387501,16.833332,16.166666,16.166666,15.044938,3164652
2011-05-24,16.066666,16.154165,15.625000,15.858333,14.757999,2581514
2011-05-25,15.812500,16.516666,15.812500,15.958333,14.851060,2059732
2011-05-26,15.991666,16.445833,15.875000,15.895833,14.792897,2037825
2011-05-27,15.729166,16.250000,15.729166,15.958333,14.851060,2269106
2011-05-30,15.870833,16.450001,15.833333,16.200001,15.075960,2540244
2011-05-31,16.245832,16.458332,15.900000,16.341665,15.207794,2816762
2011-06-01,16.258333,16.570833,16.187500,16.416666,15.277592,2391484
2011-06-02,16.250000,16.250000,15.262500,15.375000,14.308202,4668820
2011-06-03,15.291666,15.483333,15.291666,15.358333,14.292690,2569387
2011-06-07,15.329166,15.462500,15.208333,15.445833,14.374121,2144817
2011-06-08,15.366666,15.404166,14.958333,15.333333,14.269426,3292900
2011-06-09,15.237500,15.237500,14.625000,14.666666,13.649015,2939832
2011-06-10,14.750000,14.750000,14.591666,14.683333,13.664526,1830324
2011-06-13,14.583333,14.583333,14.125000,14.375000,13.377586,2634396
2011-06-14,14.395833,14.500000,14.316666,14.454166,13.451261,2528937
2011-06-15,14.387500,14.629166,14.387500,14.495833,13.490037,2431404
2011-06-16,14.250000,14.495833,14.145833,14.145833,13.164321,1842451
2011-06-17,13.875000,14.179166,13.570833,13.658333,12.710646,1790172
2011-06-20,13.750000,13.750000,13.337500,13.458333,12.524524,1238889
2011-06-21,13.462500,13.870833,13.462500,13.745833,12.792075,1418937
2011-06-22,13.750000,13.870833,13.666666,13.725000,12.772688,1048838
